main_activity,clustered,tilt_subsector
retailer,accessories for industrial equipment,Machinery & Equipment
retailer,accessories for industrial plants,Machinery & Equipment
retailer,"industrial equipment, parts",Machinery & Equipment
retailer,parts for industrial plants,Machinery & Equipment
retailer,components for industrial plants,Machinery & Equipment
retailer,components for industrial equipment,Machinery & Equipment
distributor,cad screws bolts,Iron & Steel
distributor,ground steel traders,Iron & Steel
distributor,carbon steel valves,Iron & Steel
distributor,free cutting steel bar,Iron & Steel
distributor,loudspeakers - professional,Automotive HDV
wholesaler,loudspeakers - professional,Construction Residential
distributor,light signals,Automotive HDV
distributor,optimizers,Automotive HDV
distributor,headphones,Automotive HDV
wholesaler,headphones,Agriculture & Livestock
distributor,"water deminerialization, physical treatment",Other Industry
distributor,"water deminerialization, thermal treatment",Other Industry
distributor,"water demineralization, magnetic treatment",Other Industry
distributor,disk cutters,Other Industry
distributor,accumulation tanks,Other Industry
distributor,water treatment filter maintenance,Other Industry
distributor,current generators,Total Power
distributor,disinfection tunnel,Machinery & Equipment
distributor,disinfection gantry,Machinery & Equipment
distributor,contactless disinfectant gantry,Machinery & Equipment
distributor,air sterilizer,Machinery & Equipment
distributor,automatic nano fogger,Machinery & Equipment
distributor,automatic disinfecting tunnel,Machinery & Equipment
distributor,air sterilization system,Machinery & Equipment
distributor,traceability systems,Machinery & Equipment
retailer,precision instruments,Construction Residential
distributor,cash treatment,Machinery & Equipment
distributor,cash management,Machinery & Equipment
distributor,servicio tecnico nacional,Machinery & Equipment
distributor,automated payment systems,Machinery & Equipment
distributor,shelving racks,Machinery & Equipment
distributor,boxes for warehousing,Machinery & Equipment
distributor,rail fencing,Construction Residential
distributor,air forwarding,Food Related Products
distributor,red ginseng,Food Related Products
retailer,red ginseng,Food Related Products
distributor,natural emulsifying agents,Food Related Products
retailer,online shop,Food Related Products
distributor,aloe,Food Related Products
distributor,dietetics,Food Related Products
distributor,corporate gift packages,Other Industry
distributor,lidded jars,Other Industry
distributor,promotional plastic bags,Other Industry
distributor,cap nuts,Iron & Steel
distributor,wire thread inserts,Iron & Steel
distributor,powertrain fasteners,Iron & Steel
distributor,razor,Iron & Steel
distributor,moustache scissors,Iron & Steel
distributor,cement for building,Construction Buildings
distributor,products in various materials for construction work,Construction Buildings
subcontractor,products in various materials for construction work,Construction Buildings
distributor,coating for electronics,Construction Buildings
distributor,coating material for electronics,Construction Buildings
distributor,electric cleaners,Construction Buildings
distributor,electronic cleaners,Construction Buildings
distributor,cleaning agents for electrical contacts,Construction Buildings
distributor,cleaning agents for printed circuit board electronics,Construction Buildings
distributor,precious metal solder,Construction Buildings
distributor,varnish protection,Construction Buildings
distributor,janitorial supplies industrial use,Construction Buildings
distributor,lifting gate,Construction Residential
distributor,motorised barriers,Construction Residential
distributor,gate automation kits,Construction Residential
distributor,manufacture of automatic controls for gates,Construction Residential
distributor,level-crossing barriers,Construction Residential
distributor,erection of industrial building fencing,Construction Residential
distributor,mobile container hire,Other Transport
distributor,aluminium cases for industry,Other Transport
distributor,riser extensions,Other Transport
distributor,construction of prefabricated cold storage rooms,Other Transport
distributor,glass items for cosmetics,Other Transport
distributor,class items for perfumes,Other Transport
wholesaler,sun protection products,Other Industry
distributor,office envelopes,Other Industry
distributor,cork processing,Fishing & Forestry
retailer,cork processing,Fishing & Forestry
distributor,wire caps,Fishing & Forestry
distributor,metal single-lever thermostatic mixer taps,Other Metals
distributor,mixer taps,Other Metals
distributor,rotating copper,Other Metals
distributor,"plating, bras",Other Metals
distributor,"plating, bronze",Other Metals
distributor,cast iron valves,Other Metals
distributor,import of frozen foods,Agriculture & Livestock
retailer,food products,Food Related Products
distributor,food vending machines,Agriculture & Livestock
missing,food vending machines,Food Related Products
distributor,raw cocoa,Agriculture & Livestock
distributor,psyllium,Agriculture & Livestock
distributor,organic moringa,Agriculture & Livestock
distributor,baobab,Agriculture & Livestock
missing,wine industries,Food Related Products
missing,beverage industries,Food Related Products
missing,confectionary industries,Food Related Products
distributor,chicken breasts,Agriculture & Livestock
distributor,biological butchering,Agriculture & Livestock
retailer,traditional product,Construction Residential
agent/ representative,channel jet-washing,Food Related Products
distributor,international business lawyers,Agriculture & Livestock
distributor,household electric fryers,Agriculture & Livestock
distributor,sales promotion services,Agriculture & Livestock
agent/ representative,sales promotion services,Machinery & Equipment
distributor,therapeutic hose,Agriculture & Livestock
distributor,scrap,Iron & Steel
distributor,boletus mushrooms,Agriculture & Livestock
wholesaler,boletus mushrooms,Agriculture & Livestock
distributor,cultivated mushrooms,Agriculture & Livestock
distributor,porcini mushrooms,Agriculture & Livestock
distributor,lucky charm,Agriculture & Livestock
distributor,plastic water pipes,Agriculture & Livestock
distributor,blueberries raspberries blackberries strawberries figs,Agriculture & Livestock
distributor,quality inspections packing repacking,Agriculture & Livestock
distributor,fruit traders,Agriculture & Livestock
distributor,export of supermarket products,Agriculture & Livestock
distributor,supplier of multi-range products for supermarkets,Agriculture & Livestock
distributor,"trading group supplier, edible",Agriculture & Livestock
distributor,"trading group supplier, non-edible",Agriculture & Livestock
distributor,supermarket private label range distributor,Agriculture & Livestock
distributor,export of grocery products,Agriculture & Livestock
distributor,products for supermarket in africa,Agriculture & Livestock
distributor,products for supermakrket in overseas territories,Agriculture & Livestock
distributor,import export supermarket products africa,Agriculture & Livestock
distributor,goods trading services,Agriculture & Livestock
distributor,early produce,Agriculture & Livestock
distributor,laboratory analysis equipment,Agriculture & Livestock
distributor,external trade,Agriculture & Livestock
wholesaler,external trade,Machinery & Equipment
distributor,suede fabrics,Agriculture & Livestock
wholesaler,suede fabrics,Agriculture & Livestock
distributor,anthracite,Fishing & Forestry
distributor,residential roofs in wood,Fishing & Forestry
distributor,greenhouses for floriculture,Fishing & Forestry
distributor,greenhouses for gardening,Fishing & Forestry
distributor,lumber trade,Fishing & Forestry
distributor,timber imports,Fishing & Forestry
distributor,sawn larch wood,Fishing & Forestry
distributor,rustic flooring,Fishing & Forestry
wholesaler,production of gas fuels,Gas Energy
wholesaler,distribution of gas fuels,Gas Energy
distributor,computerised autorefractometry,Other Metals
distributor,antique sculpture,Other Metals
distributor,precision sensors,Other Metals
distributor,quick couplings,Other Metals
distributor,big bags for mining equipment,Construction Buildings
distributor,polypropylene big bags,Construction Buildings
distributor,biobuilding,Construction Buildings
wholesaler,insulation material,Construction Buildings
distributor,regular grade blast furnace cement,Construction Buildings
distributor,plumbing systems for the building trade,Construction Buildings
wholesaler,clinker paving,Construction Buildings
distributor,cosmetic of argan,Food Related Products
wholesaler,cosmetic of argan,Food Related Products
distributor,ferrero nutella chocolate,Food Related Products
distributor,oenotourism,Food Related Products
distributor,scotch whisky,Food Related Products
retailer,scotch whisky,Food Related Products
distributor,natural emulsifiers,Food Related Products
distributor,american whiskey,Food Related Products
retailer,american whiskey,Food Related Products
distributor,irish whiskey,Food Related Products
retailer,irish whiskey,Food Related Products
distributor,graphics drawing sundries,Food Related Products
distributor,artistic drawing sundries,Food Related Products
distributor,video game rental for gaming rooms,Food Related Products
distributor,aerographic film treatment equipment,Food Related Products
distributor,application software for entertainment,Food Related Products
distributor,chemical acidifiers for the food industry,Food Related Products
subcontractor,import of beverages,Food Related Products
distributor,athlete's diets,Food Related Products
distributor,automatic snack dispensers,Food Related Products
retailer,automatic snack dispensers,Food Related Products
distributor,cup dispensers,Food Related Products
distributor,wholesale cups,Food Related Products
distributor,items for the cosmetics industry,Food Related Products
distributor,beauty supplies,Food Related Products
retailer,beauty supplies,Agriculture & Livestock
distributor,originality,Food Related Products
distributor,durablity,Food Related Products
